name,status,start,end,rows,error
Zbigniew Brzezinski,ok,2017-02-25,2018-05-26,456,
Gregg Allman,ok,2017-02-26,2018-05-27,456,
Adam West,ok,2017-03-11,2018-06-09,456,
Chester Bennington,ok,2017-04-21,2018-07-20,456,
Sam Shepard,ok,2017-04-28,2018-07-27,456,
Glen Campbell,ok,2017-05-10,2018-08-08,456,
Jerry Lewis,ok,2017-05-22,2018-08-20,456,
Hugh Hefner,ok,2017-06-29,2018-09-27,456,
Tom Petty,ok,2017-07-04,2018-10-02,456,
Fats Domino,ok,2017-07-26,2018-10-24,456,
Della Reese,ok,2017-08-21,2018-11-19,456,
David Cassidy,ok,2017-08-23,2018-11-21,456,
Dolores O'Riordan,ok,2017-10-17,2019-01-15,456,
Sridevi,ok,2017-11-26,2019-02-24,456,
Stephen Hawking,ok,2017-12-14,2019-03-14,456,
Barbara Bush,ok,2018-01-17,2019-04-17,456,
Avicii,ok,2018-01-20,2019-04-20,456,
Margot Kidder,ok,2018-02-12,2019-05-13,456,
Kate Spade,ok,2018-03-07,2019-06-05,456,
Anthony Bourdain,ok,2018-03-10,2019-06-08,456,
Charles Krauthammer,ok,2018-03-23,2019-06-21,456,
Steve Ditko,ok,2018-03-31,2019-06-29,456,
Aretha Franklin,ok,2018-05-18,2019-08-16,456,
John McCain,ok,2018-05-27,2019-08-25,456,
Neil Simon,ok,2018-05-28,2019-08-26,456,
Burt Reynolds,ok,2018-06-08,2019-09-06,456,
Mac Miller,ok,2018-06-09,2019-09-07,456,
Stan Lee,ok,2018-08-14,2019-11-12,456,
William Goldman,ok,2018-08-18,2019-11-16,456,
Stephen Hillenburg,ok,2018-08-28,2019-11-26,456,
George H. W. Bush,ok,2018-09-01,2019-11-30,456,
Penny Marshall,ok,2018-09-18,2019-12-17,456,
Carol Channing,ok,2018-10-17,2020-01-15,456,
Albert Finney,ok,2018-11-09,2020-02-07,456,
Karl Lagerfeld,ok,2018-11-21,2020-02-19,456,
Luke Perry,ok,2018-12-04,2020-03-03,456,
Keith Flint,ok,2018-12-04,2020-03-03,456,
Nipsey Hussle,ok,2018-12-31,2020-03-30,456,
Doris Day,ok,2019-02-12,2020-05-12,456,
Tim Conway,ok,2019-02-13,2020-05-13,456,
I. M. Pei,ok,2019-02-15,2020-05-15,456,
Bart Starr,ok,2019-02-25,2020-05-25,456,
Rip Torn,ok,2019-04-10,2020-07-08,456,
Rutger Hauer,ok,2019-04-20,2020-07-18,456,
Toni Morrison,ok,2019-05-07,2020-08-04,456,
Peter Fonda,ok,2019-05-18,2020-08-15,456,
Eddie Money,ok,2019-06-15,2020-09-12,456,
Ric Ocasek,ok,2019-06-17,2020-09-14,456,
Cokie Roberts,ok,2019-06-19,2020-09-16,456,
Diahann Carroll,ok,2019-07-06,2020-10-03,456,
Robert Forster,ok,2019-07-13,2020-10-10,456,
Elijah Cummings,ok,2019-07-19,2020-10-16,456,
John Witherspoon,ok,2019-07-31,2020-10-28,456,
Kobe Bryant,ok,2019-10-28,2021-01-25,456,
Kirk Douglas,ok,2019-11-07,2021-02-04,456,
Katherine Johnson,ok,2019-11-26,2021-02-23,456,
Max von Sydow,ok,2019-12-09,2021-03-08,456,
Kenny Rogers,ok,2019-12-21,2021-03-20,456,
Manu Dibango,ok,2019-12-25,2021-03-24,456,
Bill Withers,ok,2019-12-31,2021-03-30,456,
John Prine,ok,2020-01-08,2021-04-07,456,
Irrfan Khan,ok,2020-01-30,2021-04-29,456,
Florian Schneider,ok,2020-02-06,2021-05-06,456,
Roy Horn,ok,2020-02-08,2021-05-08,456,
Little Richard,ok,2020-02-09,2021-05-09,456,
Carl Reiner,ok,2020-03-31,2021-06-29,456,
Charlie Daniels,ok,2020-04-07,2021-07-06,456,
Naya Rivera,ok,2020-04-09,2021-07-08,456,
John Lewis,ok,2020-04-18,2021-07-17,456,
Regis Philbin,ok,2020-04-25,2021-07-24,456,
Olivia de Havilland,ok,2020-04-27,2021-07-26,456,
Wilford Brimley,ok,2020-05-03,2021-08-01,456,
Chadwick Boseman,ok,2020-05-30,2021-08-28,456,
Diana Rigg,ok,2020-06-12,2021-09-10,456,
Ruth Bader Ginsburg,ok,2020-06-20,2021-09-18,456,
Eddie Van Halen,ok,2020-07-08,2021-10-06,456,
Sean Connery,ok,2020-08-02,2021-10-31,456,
