qid,gender,citizenship,occupation,cause_of_death
Q1399007,male,United States,astronomer,liver failure
Q1464,male,Philippines,economist|politician,diabetic nephropathy
Q151813,male,South Africa,minister|politician|lawyer,mesothelioma
Q152378,male,United Arab Republic|Occupied Palestinian territories|Palestine,politician,bomb attack
Q144391,female,India|British Raj,short story writer|novelist|human rights defender|educator|poet|writer,multiple organ dysfunction syndrome
Q156347,female,India,film actor|film producer|playback singer|film score composer|singer,multiple organ dysfunction syndrome
Q162005,male,United States,co-founder|philanthropist|art collector|programmer|film producer|investor|television producer|musician|record producer|inventor|entrepreneur|computer scientist|businessperson|composer,non-Hodgkin lymphoma|septic shock
Q16052349,male,Iran|Pahlavi Iran,film producer|film director|film score composer|cinematographer|poet|screenwriter,pneumonitis
Q15147,male,Uruguay,journalist|politician|lawyer,cerebral hemorrhage
Q160157,male,United States,author|jurist|politician|lawyer,complication
Q140509,female,South Africa,songwriter|singer,
Q141147,male,United States|Second Polish Republic,biochemist|endocrinologist|researcher|university teacher|physician,
Q144006,male,Italy,Catholic bishop|Catholic priest,
Q144719,male,India,jazz musician|film actor|percussionist|DJ producer|musician|record producer|composer|actor,
Q144735,male,Nigeria,association football player,
Q144828,,,,
Q146960,male,Hungary,water polo player|engineer|architect,
Q147036,male,Libya,politician,
Q149802,male,Argentina,museologist|paleontologist,
Q152335,male,Hungary,university teacher|statesperson|jurist|librarian|politician,
Q152369,male,Tunisia,diplomat|politician|lawyer,
Q153172,male,Greece,keyboardist|film score composer|musician|painter|record producer|composer,
Q153201,male,United States,university teacher|physicist,
Q153210,male,United States|Switzerland|Germany,university teacher|physicist,
Q153425,male,France,trade unionist|banker|official|economist|politician|mayor,
Q153469,male,Poland,music educator|musicologist|violinist|pedagogue|conductor|composer,
Q153579,male,United States,librettist|lyricist|songwriter|musician|dramaturge|poet|composer|screenwriter,
Q154104,male,Namibia,autobiographer|politician,
Q154421,male,United States,trade unionist|film producer|voice actor|comedian|politician|actor|screenwriter,
Q155390,male,Greece,university teacher|statesperson|jurist|economist|politician|lawyer,
Q155514,male,Georgia,athlete|judoka,
Q155712,male,United States|Germany,jazz musician|recording artist|music arranger|film score composer|songwriter|pianist|conductor|composer,
Q155773,male,Japan|Empire of Japan,researcher|professor|physicist,
Q155979,male,Russia|Soviet Union,activist|politician|lawyer,
Q156193,male,France,music theorist|musicologist|university teacher|musician|pianist|conductor|composer|writer,
Q156485,female,France,chansonnier|film actor|singer|actor,
Q156731,male,United States|Sweden,printmaker|draftsperson|performance artist|architectural draftsperson|designer|visual artist|sculptor|graphic artist|painter,
Q157026,,,,
Q157054,male,Italy,autobiographer|fashion designer|entrepreneur,
Q157268,male,United States,university teacher|economist|professor,
Q157293,female,United States,guitarist|musician|songwriter|singer-songwriter|singer|composer,
Q157313,female,France|Algeria,linguist|film director|historian|translator|professor|writer,
Q157690,female,United Kingdom,peace activist,
Q157959,male,Poland,literary scholar|prose writer|man of letters|linguist|critic|literary critic|translator|poet|writer,
Q158067,female,United Kingdom,activist|fashion designer|jewelry designer|university teacher|businessperson|photographer,
Q158080,female,Poland|Second Polish Republic|Polish People's Republic,installation artist|performance artist|textile artist|architectural draftsperson|athletics competitor|designer|university teacher|sculptor|painter|artist|teacher,
Q162892,male,Spain,association football player|association football coach,
Q165300,female,Sweden,beauty pageant contestant|model,
Q165668,female,Russia|Soviet Union,classical pianist|film score composer|composer,
Q166422,male,United Kingdom,film producer|stage actor|lighting designer|producer|film actor|television actor|actor,
Q166531,male,South Korea,association football player,
Q167318,male,France,art collector|designer|grand couturier|fashion designer|dressmaker|postage stamp designer|costume designer|businessperson,
Q1395915,male,United States,novelist|aircraft pilot|film director|airman|writer|screenwriter,
Q1397450,male,Kingdom of the Netherlands,nuclear physicist|children's writer|astrophysicist|politician|screenwriter,
Q1398697,male,Sweden,film director|journalist|writer,
Q1399146,male,Canada,painter|illustrator,
Q1399557,male,United States,film actor|television actor|voice actor|stage actor,
Q1406607,male,Italy,boxer,
Q1406623,male,Philippines,Catholic bishop|Catholic priest,
Q1411240,male,Spain,association football player|association football coach,
Q1441090,male,Italy|Kingdom of Italy,association football player,
Q1442402,male,Poland,film actor|television actor|stage actor|actor,
Q1442594,male,Iran,economist|minister|politician,
Q1444345,male,United States,science fiction writer|novelist|fantasy author|writer,
Q1479715,male,Bulgaria,association football player|association football coach,
Q1484216,male,United States,penciller|visual artist|illustrator|comics artist|screenwriter,
Q1501393,male,United States,director|film producer|film director|illustrator|animator|actor|screenwriter,
Q1507594,male,Italy,film actor,
Q1507954,male,United States,university teacher|mathematician,
Q1514187,male,Germany,physician,
Q1516734,male,United States,television actor,
Q1523584,male,United States,literary scholar|non-fiction writer|man of letters|literary critic|journalist|university teacher|writer,
Q1527940,male,Italy|Kingdom of Italy,association football player|association football coach,
Q1541053,female,United States,activist|feminist|non-fiction writer|philosopher|social activist|civil rights advocate|editor|politician|writer,
Q158092,male,Poland|United Kingdom,opinion journalist|philosopher|sociologist|university teacher|writer,
Q158133,male,Sweden,sports executive|industrialist|association football player|politician,
Q158370,male,Kingdom of the Netherlands,violinist|choir director|music director|conductor,
Q158477,,,,
Q158486,male,United States,naval aviator|autobiographer|naval officer|military flight engineer|fighter pilot|businessperson|astronaut,
Q158647,male,Kingdom of the Netherlands,association football player|association football coach,
Q159475,female,Kingdom of the Netherlands,presenter|autobiographer|radio personality|television presenter|singer|lawyer|actor|judge,
Q159648,male,Italy|Kingdom of Italy,philosopher|university teacher|politician|writer,
Q159681,male,Russia|Soviet Union,aircraft pilot|military officer|military personnel|astronaut,
Q159840,male,Kingdom of the Netherlands,peace activist|university teacher|diplomat|economist|entrepreneur|politician,
Q159913,male,Germany,politician|lawyer,
Q160058,male,Italy,concertmaster|pianist|musician|conductor|composer,
Q160783,male,France,novelist|children's writer|translator|writer,
Q162596,male,Mexico,Catholic bishop|Catholic priest,
Q162778,male,Haiti,novelist|painter|playwright|singer|politician|poet|writer|screenwriter,
Q1551535,male,Syria,Catholic bishop|Catholic priest,
Q1554720,male,United States|Latvia,university teacher|architect,
Q1556803,male,Mexico|Uruguay,film actor|television actor|film producer|actor,
Q1570092,male,United States,session musician|drummer,
Q1573338,male,Japan,association football player,
Q1583347,male,Kingdom of the Netherlands,journalist|jurist|politician,
Q1601636,male,Russia|Azerbaijan|Soviet Union,film screenwriter|film director|short story writer|prose writer|film producer|theatre manager|cinematographer|playwright|politician|writer|screenwriter,
Q1605788,male,Belgium,association football player|association football coach,
Q1606421,male,Portugal,association football player|association football coach,
Q1642898,female,Russia|Soviet Union,fencer,
Q1648367,male,Mexico,Catholic bishop|Catholic priest,
Q1659678,male,Iran|Pahlavi Iran,amateur wrestler|film actor,
Q1669800,male,Czech Republic|Czechoslovakia,radio editor|prose writer|opinion journalist|journalist|writer,
Q1673377,male,United States,weightlifter,
Q15102503,male,Kingdom of Denmark,politician|poet|writer,
Q15220604,male,Georgia|Soviet Union,military personnel|mujahid,
Q15516012,female,United States,activist|programmer|computer scientist,
Q15616513,male,Kingdom of the Netherlands,manager|inventor|engineer,
Q16089775,female,United States,dancer|film actor|singer|actor,
Q16202598,male,United States,stage actor|television actor|actor,
Q16745486,male,Ukraine|Soviet Union|Luhansk People's Republic,politician|military personnel,
Q1639,male,Senegal,sports executive|athletics competitor|association football coach|politician,
Q14043,male,United States,stockbroker|financier|banker|economist,
Q14697,male,Finland,ski jumper|referee|coach,
Q172877,male,United States|Germany|statelessness,physicist|astronomer,Alzheimer's disease
Q179269,female,United States,film actor|television actor|stage actor|voice actor|television director|actor,Alzheimer's disease
Q18301,male,People's Republic of China|Republic of China,politician,disease
Q1856563,male,United States,film actor|television actor|stage actor|actor,Alzheimer's disease
Q173020,male,France,Formula One driver|racing automobile driver|journalist|politician,Parkinson's disease
Q184841,female,Sweden,recording artist|songwriter|pianist|singer|composer,cancer|brain cancer
Q1684369,male,United States,film actor|television actor|film producer|radio personality|voice actor|actor|screenwriter,cancer
Q1691318,male,United States,dub actor|stand-up comedian|film actor|television actor|film producer|film director|voice actor|television director|television producer|comedian|actor|screenwriter,cancer
Q1701970,male,United States,film actor|social activist|musician|singer-songwriter|poet|actor,cancer
Q1703488,male,Russia|Soviet Union,film director|pedagogue,cancer|COVID-19
Q1775143,male,United States,stand-up comedian|television actor|film producer|voice actor|singer|comedian|actor|screenwriter,cancer
Q172728,male,United Kingdom,Formula One driver,disease
Q1756312,male,Russia|Soviet Union,journalist|politician,lung cancer
Q17163,male,Kingdom of the Netherlands,association football player|association football coach|coach,lung cancer
Q171469,male,New Zealand,Formula One driver|racing automobile driver,cancer
Q171722,male,United Kingdom,Formula One driver|racing automobile driver|aristocrat|politician,cancer
Q173244,male,United Kingdom,rally driver|Formula One driver,cancer
Q174438,female,United States|Czechoslovakia,autobiographer|foreign minister|opinion journalist|university teacher|political scientist|diplomat|ambassador|minister|politician|writer,cancer
Q177618,female,Kingdom of Denmark,singer|actor,cancer
Q179960,male,United States,television actor|film actor|stage actor|actor,cancer
Q183092,male,United States,country musician|recording artist|guitarist|singer-songwriter|singer,pneumonia
Q18378434,male,United Kingdom,voice actor|film actor|stage actor|television actor|television presenter|actor,pneumonia
Q16849,male,Finland,ski jumper|athlete|singer|politician,pneumonia|pancreatitis
Q170515,male,Egypt,non-fiction writer|bridge player|television actor|film actor|writer|actor,myocardial infarction
Q173834,male,Russia|Soviet Union,circus performer|director|mime artist|actor|screenwriter|clown,myocardial infarction
Q179695,male,France|Albania|Kosovo,translator|novelist|poet|writer,myocardial infarction
Q180602,female,Japan|Empire of Japan,film actor|stage actor|actor,myocardial infarction
Q181659,female,United States,women's rights activist|writer of feminist science fiction|science fiction writer|translator|prose writer|literary critic|novelist|children's writer|journalist|author|poet|writer|screenwriter,myocardial infarction
Q1740243,male,United States,film actor|film producer|film director|voice actor|stage actor,leukemia
Q1681105,male,United States,film actor|television actor|voice actor|actor,dementia
Q186111,male,Iran,akhoond|politician|entrepreneur|writer,myocardial infarction
Q1798588,female,United States,film actor|television actor|stage actor|actor,myocardial infarction
Q18117069,male,Vanuatu,Anglican priest|politician,myocardial infarction
Q18644113,male,Spain,humorist|comedian|actor,myocardial infarction
Q18111,male,People's Republic of China,economist|politician,myocardial infarction
Q185165,female,United Kingdom|Australia,recording artist|film actor|singer-songwriter|singer|composer|actor,breast cancer
Q1771279,female,United States|Iran,topologist|university teacher|mathematician,breast cancer
Q1837775,female,United States|United Kingdom,non-fiction writer|film producer|playwright|writer|screenwriter|actor,breast cancer
Q182658,female,United States,prose writer|novelist|poet lawyer|musician|writer|actor|screenwriter,stroke
Q184785,female,United States,novelist|writer|screenwriter,stroke
Q1685900,male,France,alpine skier|writer,stroke
Q185107,male,Argentina,politician|lawyer|businessperson,urinary tract infection
Q1706646,male,United States,television actor|film director|stage actor|writer|actor|screenwriter,pancreatic cancer
Q1758631,male,United States,lawyer|politician,pancreatic cancer
Q18066,male,Russia,presenter|children's writer|film producer|television presenter|playwright|engineer|poet|writer|screenwriter,prostate cancer
Q173175,male,Ireland,autobiographer|presenter|racing automobile driver|sports commentator|journalist|chief executive officer|merchant|entrepreneur|businessperson|writer,prostate cancer|bladder cancer
Q178112,male,United States,wind instrument player|saxophonist|jazz musician|recording artist|musician|composer,prostate cancer
Q169281,male,United States,printmaker|designer|jewelry designer|scenographer|postage stamp designer|sculptor|graphic artist|costume designer|painter|artist,respiratory failure
Q174547,male,United States,jazz musician|social worker|percussionist|singer-songwriter|singer,respiratory failure|pneumonia|seizure
Q171526,male,France,Formula One driver|racing automobile driver|motorcycle racer,stroke
Q168041,male,United States|Second Polish Republic,geopolitical analyst|strategist|film actor|critic|pedagogue|university teacher|political scientist|author,pneumonia
Q171466,male,United States,Formula One driver|racing automobile driver|engineer,pneumonia
Q173325,male,Finland,rally driver|racing automobile driver|Formula One driver,pneumonia
Q178628,male,Italy,association football player|politician,lung cancer
Q178713,male,Japan|Empire of Japan,film director|film producer|director|impresario|animation director|animator|translator|screenwriter,lung cancer
Q1785,male,France|Armenia,chansonnier|recording artist|film actor|film director|lyricist|diplomat|singer|poet|composer|actor|screenwriter,pulmonary edema|cardiac arrest
Q173098,male,Kingdom of Denmark,Formula One driver|racing driver|engineer,stomach cancer
Q176222,female,United Kingdom,autobiographer|showgirl|model,pulmonary emphysema
Q173296,male,Brazil,racing automobile driver|Formula One driver,cardiac arrest
Q181573,male,Russia|Soviet Union,essayist|novelist|journalist|poet|writer|screenwriter,cardiac arrest
Q168629,male,Democratic Republic of the Congo,minister|politician,pulmonary embolism
Q186316,male,Egypt|statelessness|Republic of Egypt|Kingdom of Egypt|United Arab Republic,surgeon|military leader|ulema,drone warfare
Q17612464,male,United Kingdom|Kuwait,programmer|warrior|executioner,drone warfare
Q171758,male,Canada|United States,producer|film screenwriter|memoirist|video game actor|television actor|film actor|film producer|director|television director|voice actor|comedian|writer|actor|screenwriter,drug overdose|drowning
Q172189,male,United Kingdom,Formula One driver|journalist|musician,cerebrovascular disease
Q173923,male,Serbia|Yugoslavia,association football player|association football coach,COVID-19
Q173538,male,United Kingdom,sports executive|race director,pulmonary embolism
Q18207540,female,British Empire|Jamaica,,heart failure
Q169303,cisgender man,Canada,politician|businessperson,liposarcoma
Q173238,male,Argentina,Formula One driver|agricultural producer|racing automobile driver|politician,cerebral hemorrhage
Q178375,male,Colombia,Catholic bishop|Catholic priest,heart failure
Q180338,male,United Kingdom,SOE agent|producer|orator|television actor|military officer|film actor|film producer|voice actor|stage actor|character actor|singer|military personnel|writer|actor,heart failure
Q17515,male,Argentina,association football player|association football coach|actor,cardiac arrest
Q183279,male,Russia|Soviet Union,inventor|physicist|politician,malignant hypertension
Q1826885,male,United States,producer|presenter|manufacturer|film actor|film producer|television actor|voice actor|executive producer|writer|screenwriter|actor,cerebrovascular disease
Q17488307,male,Ukraine|Soviet Union|Donetsk People's Republic,politician|military personnel,explosive device
Q17714,male,United Kingdom,theoretical physicist|cosmologist|writer,amyotrophic lateral sclerosis
Q181900,male,United States,comics editor|comics writer|science fiction writer|film actor|business executive|soldier|film producer|voice actor|executive producer|journalist|publisher|television presenter|editor|writer|screenwriter,acute myocardial infarction
Q184435,male,Israel,opinion journalist|political scientist|university teacher|historian,surgical complications
Q172252,male,Japan|Empire of Japan,Formula One driver|racing automobile driver|motorcycle racer,lymphoma
Q1709329,male,Spain,film producer|film director|writer|actor|screenwriter,arterial embolism
Q1750774,male,United States|United Kingdom,film actor|television actor|director|theatre director|stage actor|actor,brain cancer
Q184650,male,United States,military officer|author|diplomat|civil servant|politician|businessperson,multiple myeloma
Q1709475,female,Afghanistan,military personnel|politician,COVID-19
Q1824877,male,Brazil,association football player,COVID-19
Q1868688,male,United States,film actor|film producer|television actor|stage actor,COVID-19
Q16847056,male,Canada,musical theatre actor|actor,COVID-19
Q18161827,undisclosed gender|non-binary|trans woman,United Kingdom,chanteuse|musician|record producer|disc jockey|composer,fall from building
Q18384904,male,Kenya,hurdler|athletics competitor,car collision
Q167803,male,Italy|Kingdom of Italy,bioethicist|theologian|university teacher|Catholic bishop|Catholic priest|writer,
Q168015,male,Germany,musician|composer,
Q168023,male,United States,percussionist|musician|drummer|singer,
Q168440,male,Kingdom of the Netherlands,Catholic deacon|theologian|Catholic bishop|Catholic priest,
Q168567,male,South Korea,autobiographer|entrepreneur,
Q170380,male,Mongolia,paleontologist|geologist,
Q170597,male,Mali,military officer|politician,
Q171456,male,Spain,team manager|Formula One driver|racing automobile driver,
Q171462,male,France,Formula One driver|racing automobile driver|racing driver,
Q171481,male,United Kingdom,Formula One driver|racing automobile driver|racing driver,
Q171512,male,France,Formula One driver|racing automobile driver|engineer,
Q171572,female,Italy,Formula One driver,
Q171577,male,United Kingdom,Formula One driver,
Q171583,male,United Kingdom,autobiographer|association football player|association football coach|animator,
Q171672,male,Spain|Chile,essayist|short story writer|novelist|literary critic|journalist|diplomat|writer,
Q171783,male,United Kingdom,Formula One driver,
Q172091,male,Australia,Formula One driver|racing automobile driver,
Q172100,male,United States,Formula One driver|racing automobile driver,
Q172174,male,France,rugby union player|rugby league player|rower|Formula One driver|racing automobile driver|motorcycle racer|businessperson,
Q172187,male,Belgium,Formula One driver|racing automobile driver|engineer,
Q172231,male,Italy,Formula One driver|racing automobile driver,
Q172259,male,United Kingdom,Formula One driver|businessperson,
Q172262,male,Sweden,Formula One driver|racing automobile driver|engineer,
Q172264,male,Sweden,Formula One driver|racing automobile driver|drummer,
Q172273,male,United Kingdom,Formula One driver|racing automobile driver|racing driver,
Q172285,male,Canada,Formula One driver|racing driver|engineer,
Q172306,male,Portugal,association football coach|association football player,
Q172309,male,United Kingdom,Formula One driver|racing automobile driver|mechanical engineer,
Q172322,male,United States,Formula One driver|racing automobile driver,
Q172335,male,Brazil,Formula One driver|racing automobile driver|engineer,
Q172487,male,South Africa,Formula One driver|racing automobile driver,
Q172496,male,United States,Formula One driver|racing automobile driver,
Q172531,male,Sweden,Formula One driver|racing automobile driver|racing driver|engineer,
Q172653,female,United Kingdom,actor,
Q172658,male,Kingdom of the Netherlands,sport shooter|Formula One driver|racing driver|businessperson,
Q172840,male,United States,non-fiction writer|theoretical physicist|physicist,
Q173084,male,France,Formula One driver|racing automobile driver|engineer,
Q173214,male,United Kingdom,sporting director|engineer|businessperson,
Q173246,male,United Kingdom,team manager|racing automobile driver|barrister|politician,
Q173349,male,Italy,racing automobile driver|Formula One driver,
Q173443,male,Italy,racing automobile driver|Formula One driver,
Q175277,male,Germany,saxophonist|jazz musician|recording artist|brass player|musician|clarinetist,
Q175695,male,Russia,journalist|association football player|association football coach,
Q176413,male,Guinea-Bissau,politician,
Q176643,male,United Kingdom,university teacher|economist,
Q176696,male,Mexico,association football player,
Q177182,male,Ecuador,university teacher|politician|architect,
Q177255,male,Italy,university teacher|Esperantist|theologian|Catholic bishop|Catholic priest|archbishop,
Q177310,male,France|Russia|Soviet Union,chess player,
Q178016,male,Russia,athletics competitor,
Q178073,male,Germany,association football player,
Q178225,female,Ireland,short story writer|novelist|biographer|playwright|poet|writer|screenwriter,
Q179201,male,India,science fiction writer|university teacher|astrophysicist|astronomer,
Q179282,male,United States,theoretical physicist|university teacher|cosmologist|physicist|writer,
Q179572,male,United States,university teacher|cosmologist|astrophysicist|astronomer|physicist,
Q179735,male,Hungary,university teacher|economist,
Q180499,male,United States|Poland,air force officer|military aviator|military flight engineer|astronaut|aircraft pilot|test pilot,
Q180626,male,People's Republic of China|British Hong Kong,newspaper proprietor|science fiction writer|political activist|novelist|film director|journalist|writer|screenwriter,
Q1687170,male,Kingdom of Denmark,physiologist|university teacher|chemist|autobiographer|biochemist,
Q1687792,male,United States,film actor|television actor|theatre director|stage actor|dramaturge,
Q1688598,male,Spain,Islamicist|university teacher|theologian|arabist|Catholic bishop|Catholic priest|missionary|historian|writer,
Q1691628,male,United States,film actor|television actor|actor,
Q1691828,male,United Kingdom,association football player|association football coach|writer,
Q1707608,male,United States,non-fiction writer|anthropologist|author|historian|writer,
Q1715097,male,Poland,Catholic deacon|Catholic bishop|Catholic priest|archbishop,
Q1716957,male,United Kingdom,athletics competitor,
Q1733256,male,Russia|Soviet Union,politician,
Q1738407,male,Dominica,Catholic bishop|Catholic priest,
Q1738578,male,United States,television actor|dancer|stage actor|singer|comedian,
Q1750617,female,Russia|Soviet Union,film actor|actor,
Q1764117,male,United Kingdom,association football player|association football coach,
Q1765863,male,United States,university teacher|historian|writer,
Q1775704,male,United Kingdom,journalist|association football player|association football coach,
Q1776790,male,United Kingdom,dancer|motorcycle racer|songwriter|musician|singer|entrepreneur,
Q1783424,male,Sweden,speed skater,
Q1790288,male,United States,weightlifter|inventor|dentist,
Q1791448,male,India|Dominion of India|British Raj,journalist|columnist|author|diplomat|politician|writer,
Q1800396,male,Italy,boxer|film actor|television presenter|actor,
Q1805442,male,United States,cabaret performer|dancer|television actor|voice actor|comedian|singer|actor,
Q1825388,male,Japan,association football player,
Q1826458,male,Ukraine|Soviet Union,association football player|association football coach,
Q1847082,male,United States,film actor|television actor|actor,
Q180886,male,France|Mauritania,dub actor|film producer|film director|actor|screenwriter,
Q180893,male,United States,university teacher|philosopher,
Q180926,male,Brazil,association football player,
Q182372,female,United States,film actor|television actor|actor,
Q182408,female,United Kingdom,film actor|stage actor|politician|actor,
Q182609,male,Belgium,rugby union player|surgeon|politician|physician,
Q182642,male,United States,film actor|television actor|manager|aircraft pilot|test pilot|musician|military officer|politician|businessperson|screenwriter|astronaut,
Q183679,male,United States|Taiwan|Republic of China,theoretical physicist|university teacher|physicist,
Q184566,male,United States,nuclear physicist|university teacher|inventor|physicist,
Q186236,male,Hungary,fencer,
Q186481,male,United States|Italy|Kingdom of Italy,visual artist|university teacher|astrophysicist|astrologer|physicist|astronomer,
Q1676314,male,Czech Republic|Czechoslovakia,association football player,
Q1677936,male,France,film actor|film producer|stage actor|painter|actor,
Q1680534,male,United States,astrophysicist,
Q1684856,male,France,audiobook narrator|film editor|film director|actor|screenwriter,
Q1685859,male,France,magistrate|politician,
Q1685888,male,France,film screenwriter|prose writer|film critic|director|film director|writer|screenwriter,
Q18391,male,United States|Israel|Kingdom of Romania|statelessness|Kingdom of Hungary,playwright|translator|writer|architect|political activist|autobiographer|humanist|novelist|Judaic scholar|philosopher|journalist|university teacher|association football player,
Q1848877,male,Estonia|Soviet Union,diplomat|politician,
Q1860448,male,France,circus performer|film actor|visual artist|film director|comedian|writer|screenwriter|actor|clown,
Q16980141,female,Montenegro|Serbia|Serbia and Montenegro|Socialist Federal Republic of Yugoslavia,cultural activist|theatre manager|journalist|columnist|dramaturge,
Q17320405,male,Senegal,head of government|minister|politician|engineer,
Q17447265,female,Estonia|Soviet Union,printmaker|graphic artist|painter|artist,
Q17523911,female,Romania,singer|lawyer,
Q18066676,male,Russia,military personnel,
Q18344675,male,Ukraine,military personnel,
Q18352991,male,Zambia,minister|politician|lawyer,
Q16981,male,Finland,ski jumper,
Q17104,male,Finland,ski jumper,
Q192465,male,United States,recording artist|jazz musician|pianist|composer,cancer
Q202168,male,Japan|Empire of Japan,theoretical physicist|physicist|professor,cancer
Q203205,male,United States,television actor|film actor|voice actor|stage actor|actor,cancer|multiple myeloma
Q1904913,male,United States,university teacher|economist|professor,cancer
Q187516,male,United States,university teacher|historian|businessperson|politician,Parkinson's disease
Q202385,male,United Kingdom,television actor|playwright|poet|writer|screenwriter,Parkinson's disease
Q19518278,male,Portugal,association football player,traffic collision
Q19787968,male,Qatar,athletics competitor,traffic collision
Q1980296,male,Russia,music educator|public figure|singer|politician,cancer
Q1999598,male,Canada|United Kingdom,visual artist|film producer|film director|painter|animator|screenwriter,cancer
Q19646809,female,Malta,investigative journalist|activist|blogger|chronicler|journalist,car bomb
Q191966,male,United States,film screenwriter|producer|film actor|television actor|film director|director|film producer|stage actor|comedian|singer|actor|writer|screenwriter,Alzheimer's disease
Q200460,female,United States,film actor|television actor|stage actor|actor,disease
Q1930832,male,France,association football player|association football coach,disease
Q1957066,male,Mozambique,minister|politician,disease
Q2014379,male,Italy|Kingdom of the Netherlands,football agent,disease
Q191084,male,United States,film actor|television actor|stage actor|voice actor|actor,pneumonia
Q202729,male,United States,recording artist|singer-songwriter|pianist|singer|composer,pneumonia
Q203545,male,Ireland|United Kingdom,television actor|film actor|voice actor|stage actor|actor,pneumonia
Q206421,male,Greece,swimmer|politician|lawyer,pneumonia
Q209641,male,Ireland|United Kingdom,spy|novelist|film producer|writer|actor|screenwriter,pneumonia
Q188120,male,Japan|United States,theoretical physicist|researcher|physicist|professor,myocardial infarction
Q188128,male,United States|Russia|Soviet Union,university teacher|physicist,myocardial infarction
Q200470,male,United States,biophysicist|biochemist|university teacher|chemist,myocardial infarction
Q206685,male,France,draftsperson|comics artist|colorist|illustrator|painter|visual artist|film director|screenwriter,myocardial infarction
Q208797,male,United States,trumpeter|recording artist|jazz musician|saxophonist|composer,myocardial infarction
Q208834,male,Haiti,politician,myocardial infarction
Q208879,male,Iceland,diplomat|politician,myocardial infarction
Q1949286,male,Israel,film producer|film director|screenwriter,pneumonia
Q18951229,female,United States,film actor|model|singer,pneumonia|intoxication
Q1968358,male,Russia|Soviet Union,rapper|singer|poet,myocardial infarction
Q1982523,male,United States,autobiographer|novelist|choreographer|ballet dancer|mime artist,myocardial infarction
Q2018066,male,Belgium,association football player,myocardial infarction
Q19045,male,United States|Mexico,university teacher|chemist|engineer,myocardial infarction
Q1996140,male,Ukraine|Soviet Union,human rights defender|diplomat|politician|writer,stroke
Q18762,male,United States,autobiographer|military flight engineer|aircraft pilot|test pilot|astronaut,stroke
Q207598,female,United States,autobiographer|director|television actor|film actor|stage actor|television producer,breast cancer
Q188969,male,United States,pianist|guitarist|singer-songwriter|record producer|singer|composer,stroke|diabetes
Q2051128,male,United States,film actor|television actor|film director|voice actor|comedian|actor|screenwriter,leukemia
Q201569,male,United States,film actor|television actor|voice actor|stage actor|singer,leukemia
Q192695,male,United States,particle physicist|university teacher|physicist,dementia
Q2049688,male,India,recording artist|film producer|playback singer|singer|composer|actor,cardiac arrest|COVID-19
Q2082089,male,United Kingdom,autobiographer|singer-songwriter|singer|composer,cardiac arrest
Q193982,female,Ireland,singer-songwriter,chronic obstructive pulmonary disease|asthma|respiratory tract infection
Q205242,male,Tibet,film actor|writer|actor,colorectal cancer
Q2064734,male,Turkey,film producer|actor,lung cancer
Q2065090,male,Poland,university teacher|politician|lawyer,stabbing
Q2004409,male,United States,film actor|television actor|film producer|actor|screenwriter,heart failure
Q1919797,male,Japan|Empire of Japan,teacher of higher education|association football player|association football coach,heart disease
Q2071,male,United States,film screenwriter|producer|television actor|film editor|film actor|visual artist|director|film producer|voice actor|film director|painter|lyricist|songwriter|musician|cinematographer|animator|composer|writer|actor|photographer|screenwriter,pulmonary emphysema|emphysema
Q187019,male,United States,science fiction writer|essayist|novelist|university teacher|poet|writer|screenwriter,heart failure
Q189987,male,United States|Kingdom of the Netherlands,theoretical physicist|university teacher|physicist,heart failure
Q192106,male,United States,university teacher|physicist,heart failure
Q193426,female,United States,autobiographer|film actor|television actor|stage actor|politician|lawyer|businessperson|actor,heart failure
Q2034898,female,Ukraine|Soviet Union,linguist|language activist|philologist|pedagogue|university teacher|politician,gunshot wound
Q2073970,male,United States,activist|rapper|songwriter|entrepreneur|gangster|actor,gunshot wound
Q1929070,male,United Kingdom,association football player|television presenter,skin cancer
Q202449,male,United States,film actor|television director|television actor|voice actor|comedian|singer|conductor|actor,bladder cancer
Q202148,male,United States,producer|American football player|film actor|television actor|director|film producer|film director|voice actor|singer|businessperson|writer|actor|screenwriter,cardiac arrest
Q207405,female,United States|Austria–Hungary,beauty pageant contestant|television actor|film actor|stage actor|socialite|actor,cardiac arrest
Q2033344,male,United States,string player|songwriter|guitarist|singer-songwriter|singer|composer,bladder cancer
Q2038656,male,India,film actor|television actor|film producer|politician,bladder cancer
Q18935559,male,Jordan,air force officer,death by burning
Q1965002,male,Russia|Soviet Union,presenter|humorist|satirist|television presenter|mechanic|engineer|writer|actor|screenwriter,prostate cancer
Q1975172,male,United Kingdom|Australia,estrada artist|film director|painter|television presenter|songwriter|singer|entertainer|composer|actor,frailty syndrome|head and neck cancer
Q2003575,female,India,television actor|actor,hanging to death
Q2095228,male,Australia,athletics competitor,prostate cancer
Q19198,male,United States,rock singer|songwriter|musician|singer|actor,hanging to death
Q1944867,male,Kingdom of the Netherlands,crime journalist|rally driver|program maker|columnist|journalist|television presenter|television producer|actor|screenwriter,shot to the head
Q2080069,male,United States,pop singer|dancer|musician|singer-songwriter|singer|composer,surgical complications
Q18992,male,United States,television actor|film actor|actor,surgical complications
Q20235,male,Germany,yodeler|film actor|guitarist|singer|writer,multiple organ dysfunction syndrome
Q19559884,female,Canada,model|pornographic actor,asphyxia
