qid,gender,citizenship,occupation,cause_of_death
Q315528,male,Taiwan|Empire of Japan|Republic of China,plant physiology|politician,septic shock
Q314133,male,United States,film actor|television actor|voice actor|actor,traumatic asphyxia
Q314338,male,Belarus|Soviet Union,nuclear physicist|university teacher|physicist|engineer|politician,COVID-19
Q316413,male,Spain,furniture designer|film director|urban planner|architect|writer,COVID-19
Q320523,male,United States,electrical engineer|television presenter|actor,intracranial aneurysm
Q3183397,male,United States,film actor|television actor|voice actor|actor,gunshot wound
Q3246911,female,United States,motivational speaker|film actor|singer-songwriter|nurse|singer|actor,gunshot wound
Q333544,male,United States,podcaster|stand-up comedian|film producer|voice actor|film director|television presenter|screenwriter,blunt trauma
Q313668,male,Canada|United States,jazz musician|musician|lyricist|songwriter|drummer|composer|writer,glioblastoma
Q314459,male,United States,city attorney|politician|lawyer,pancreatic cancer
Q316264,male,Papua New Guinea,radio journalist|politician|teacher,pancreatic cancer
Q312956,male,Russia,hammer thrower|athletics competitor|physical education teacher,myocardial infarction
Q313526,male,Italy,sport cyclist,myocardial infarction
Q315214,male,Iraq,journalist|statesperson|diplomat|politician,myocardial infarction
Q316267,male,Tuvalu,diplomat|politician,myocardial infarction
Q319553,male,United States,motorcycle racer,struck by vehicle|bicycle accident
Q326654,male,United States,conservationist|environmentalist|entrepreneur,hypothermia
Q3191765,male,India,film producer|actor|screenwriter,progressive supranuclear palsy
Q323331,male,Hungary|United States,university teacher|mathematician,cardiac amyloidosis
Q324726,male,United States,rapper|songwriter|record producer|singer,drug overdose
Q333201,male,United Kingdom|Russia|Soviet Union,opera singer,brain cancer
Q313289,male,United Kingdom,science fiction writer|novelist|children's writer|environmentalist|author|poet|writer|screenwriter,hematopoietic system disease
Q313852,male,France|Bulgaria,semiologist|non-fiction writer|literary theorist|essayist|literary scholar|critic|philosopher|literary critic|sociologist|geologist|historian,neurological disorder
Q316226,male,Italy,politician,falling
Q327142,male,Turkey,short story writer|novelist|journalist|translator|poet|writer|screenwriter,multiple organ dysfunction syndrome
Q3141326,male,People's Republic of China,botanist|agronomist|biologist|inventor,multiple organ dysfunction syndrome
Q319350,male,Italy,essayist|furniture designer|visual artist|designer|graphic artist|painter|sculptor|graphic designer|architect|teacher,COVID-19
Q319751,male,United Kingdom,recording artist|film score composer|keyboardist|musician|composer,shot to the head
Q3312145,male,United States,musician,car collision
Q314664,male,Russia|Soviet Union,hammer thrower,cardiovascular disease
Q316179,male,United States,basketball coach|basketball player,cardiovascular disease
Q315720,male,Japan,diplomat|politician,senility
Q317135,male,Japan|Empire of Japan,university teacher|architect,senility
Q313539,male,Tunisia|French protectorate of Tunisia,diplomat|politician|lawyer,respiratory failure
Q314290,male,United States,film actor|television actor|musician|character actor|singer|actor,respiratory failure
Q317891,male,Pakistan|Bangladesh|British Raj,politician|lawyer,respiratory failure
Q317465,male,British Raj|Pakistan,philanthropist|humanitarian|autobiographer|social activist|social worker,kidney failure
Q316315,male,Italy|Kingdom of Italy,criminal|mobster,bladder cancer
Q3302436,male,United States,banjoist|musician|singer-songwriter,skin cancer
Q332950,male,United Kingdom,journalist|politician,internal bleeding
Q325679,male,Germany|Israel,newspaper editor|peace activist|opinion journalist|human rights defender|journalist|politician|writer,cerebrovascular disease
